year ,turtle_count ,human_population ,storm_index_JRA_GB,NAO_index ,mean_sst
1960,4,52.37,52,-1.88,11.43
1961,2,52.82,33,0.47,11.51
1962,0,53.34,82,-1.05,10.64
1963,0,53.68,55,-2.16,10.32
1964,1,54.07,51,-1.04,11.04
1965,0,54.43,51,-1.77,10.69
1966,0,54.74,62,-2.54,11.05
1967,1,55.07,70,1.67,11.12
1968,1,55.28,36,-2.97,11.22
1969,1,55.53,26,-2.58,11.18
1970,1,55.41,47,-1.08,10.89
1971,0,55.6,53,-0.08,11.31
1972,0,55.79,54,2.05,10.95
1973,0,55.91,59,0.27,11.24
1974,0,55.93,84,2.18,11.10
1975,0,55.89,50,0.01,11.35
1976,2,55.89,48,0.59,11.39
1977,1,55.85,65,-2.08,11.01
1978,0,55.82,36,-0.42,10.96
1979,0,56.28,43,-0.23,10.60
1980,1,56.34,33,-1.58,10.98
1981,0,56.32,59,-0.55,10.92
1982,3,56.32,75,2.63,11.22
1983,2,56.44,107,0.38,11.09
1984,1,56.6,70,2.17,11.08
1985,0,56.77,26,-3.09,10.80
1986,0,56.93,90,3.14,10.39
1987,0,57.08,22,-3.01,10.74
1988,1,57.26,51,-0.13,11.20
1989,3,57.46,89,2.38,11.91
1990,6,57.68,134,3.88,11.84
1991,2,57.63,92,1.14,11.14
1992,8,57.58,51,2.54,11.37
1993,3,57.71,95,1.71,10.95
1994,2,57.86,84,2.86,11.27
1995,2,58.02,51,-1.11,11.85
1996,4,58.16,49,-1.98,10.89
1997,1,58.31,77,-0.93,11.70
1998,2,58.47,58,1.03,11.64
1999,4,58.68,75,2.25,11.89
2000,3,58.89,61,1.18,11.54
2001,7,59.11,22,-1.91,11.74
2002,11,59.32,49,1,12.03
2003,8,59.55,38,-0.09,12.09
2004,7,59.84,40,0.7,11.86
2005,14,60.24,67,-1.35,11.83
2006,8,60.58,63,-0.2,12.08
2007,11,60.99,64,1.35,12.19
2008,26,61.4,79,1.72,11.88
2009,12,61.79,47,0.72,11.82
2010,1,62.77,29,-5.96,11.31
2011,7,63.26,64,2.95,11.59
2012,2,63.7,36,-0.25,11.46
2013,1,64.13,69,0.9,11.27
2014,5,64.61,77,2.97,12.36
