Year ,NAC_transport
1949,12.43868
1950,14.03551
1951,21.26871
1952,18.65633
1953,16.07954
1954,18.03369
1955,9.834742
1956,13.18273
1957,15.81824
1958,12.14215
1959,17.19625
1960,19.55108
1961,7.274668
1962,12.15091
1963,11.49608
1964,6.378316
1965,10.19763
1966,6.287761
1967,16.59397
1968,16.90496
1969,8.952764
1970,12.42656
1971,15.26786
1972,18.17791
1973,13.76364
1974,20.52555
1975,10.76117
1976,23.36749
1977,19.74947
1978,15.28891
1979,10.31561
1980,12.39574
1981,15.63059
1982,12.45323
1983,16.91536
1984,18.0286
1985,13.21643
1986,15.47104
1987,6.899074
1988,14.35735
1989,15.28727
1990,15.34206
1991,16.43547
1992,23.30486
1993,18.04559
1994,27.57544
1995,23.5771
1996,16.23356
1997,12.29468
1998,12.29468
1999,13.05858
2000,22.78005
2001,11.82298
2002,13.60935
2003,20.29052
2004,18.31991
2005,15.2254
2006,15.86961
2007,18.96762
2008,18.8698
2009,14.08962
