Years,Ntraj_14W
1960,839
1961,769
1962,1034
1963,775
1964,744
1965,503
1966,378
1967,450
1968,704
1969,584
1970,593
1971,551
1972,600
1973,885
1974,788
1975,747
1976,1441
1977,565
1978,569
1979,781
1980,464
1981,602
1982,729
1983,765
1984,1007
1985,1104
1986,742
1987,887
1988,864
1989,1190
1990,1596
1991,1299
1992,1241
1993,996
1994,1063
1995,1051
1996,731
1997,867
1998,462
1999,450
2000,658
2001,687
2002,706
2003,581
2004,733
2005,929
2006,821
2007,734
2008,842
2009,748
