year,UK_mean
1960,11.43
1961,11.51
1962,10.64
1963,10.32
1964,11.04
1965,10.69
1966,11.05
1967,11.12
1968,11.22
1969,11.18
1970,10.89
1971,11.31
1972,10.95
1973,11.24
1974,11.10
1975,11.35
1976,11.39
1977,11.01
1978,10.96
1979,10.60
1980,10.98
1981,10.92
1982,11.22
1983,11.09
1984,11.08
1985,10.80
1986,10.39
1987,10.74
1988,11.20
1989,11.91
1990,11.84
1991,11.14
1992,11.37
1993,10.95
1994,11.27
1995,11.85
1996,10.89
1997,11.70
1998,11.64
1999,11.89
2000,11.54
2001,11.74
2002,12.03
2003,12.09
2004,11.86
2005,11.83
2006,12.08
2007,12.19
2008,11.88
2009,11.82
2010,11.31
2011,11.59
2012,11.46
2013,11.27
2014,12.36
