Year ,Simulated_arrivals
1961,109
1962,446
1963,276
1964,360
1965,224
1966,174
1967,224
1968,312
1969,307
1970,274
1971,208
1972,250
1973,370
1974,300
1975,334
1976,674
1977,199
1978,266
1979,347
1980,249
1981,290
1982,324
1983,346
1984,444
1985,558
1986,389
1987,494
1988,489
1989,644
1990,955
1991,616
1992,669
1993,424
1994,629
1995,603
1996,350
1997,354
1998,193
1999,199
2000,278
2001,384
2002,374
2003,312
2004,308
2005,371
2006,403
2007,298
2008,400
2009,342
