Year,Storms
1913,0
1914,1
1915,0
1916,1
1917,0
1918,0
1919,0
1920,1
1921,1
1922,0
1923,0
1924,0
1925,0
1926,0
1927,1
1928,4
1929,1
1930,0
1931,1
1932,0
1933,1
1934,0
1935,0
1936,2
1937,3
1938,6
1939,1
1940,0
1941,0
1942,0
1943,0
1944,0
1945,1
1946,0
1947,0
1948,0
1949,2
1950,1
1951,1
1952,1
1953,1
1954,1
1955,0
1956,1
1957,1
1958,0
1959,0
1960,0
1961,1
1962,1
1963,0
1964,1
1965,1
1966,0
1967,3
1968,1
1969,1
1970,0
1971,0
1972,1
1973,3
1974,3
1975,0
1976,1
1977,0
1978,1
1979,3
1980,1
1981,2
1982,0
1983,2
1984,1
1985,0
1986,3
1987,1
1988,2
1989,4
1990,8
1991,2
1992,1
1993,3
1994,1
1995,0
1996,2
1997,1
1998,2
1999,3
2000,1
2001,1
2002,2
2003,0
2004,1
2005,3
2006,1
2007,3
2008,1
2009,0
2010,2
2011,4
2012,1
2013,6
2014,8
2015,6
