year,JRA_stormindex
,
1958,33
,
1959,59
,
1960,52
,
1961,33
,
1962,82
,
1963,55
,
1964,51
,
1965,51
,
1966,62
,
1967,70
,
1968,36
,
1969,26
,
1970,47
,
1971,53
,
1972,54
,
1973,59
,
1974,84
,
1975,50
,
1976,48
,
1977,65
,
1978,36
,
1979,43
,
1980,33
,
1981,59
,
1982,75
,
1983,107
,
1984,70
,
1985,26
,
1986,90
,
1987,22
,
1988,51
,
1989,89
,
1990,134
,
1991,92
,
1992,51
,
1993,95
,
1994,84
,
1995,51
,
1996,49
,
1997,77
,
1998,58
,
1999,75
,
2000,61
,
2001,22
,
2002,49
,
2003,38
,
2004,40
,
2005,67
,
2006,63
,
2007,64
,
2008,79
,
2009,47
,
2010,29
,
2011,64
,
2012,36
,
2013,69
,
2014,77
,
2015,110
,
2016,45
,
2017,36
,
2018,59
,
2019,0
